"","Navn","Stemmer","Uddannelse","Forebyggelse","Sundhed","Velfærd","Arbejdsmarked_1","Arbejdsmarked_2","Økonomi","Trafik","Ret","Social","Integration","EU","Udvikling","Miljø","Kultur","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"623","Karl-Erik Høholt Jensen",649,"Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","venstre","Københavns Omegns "," Hvidovre"," Ukendt"," Account Manager "," 2650 Hvidovre"," Mand "," Nej ","Alle","5",1707,"","4"
"624","Morten Løkkegård",4676,"Delvist uenig","Delvist uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig","venstre","Københavns Omegns "," Ballerup"," 50"," Selvstændig "," 2920 Charlottenlund"," Mand "," Nej ","Alle","8",11409,"2K",""
"625","Tina Nedergård",1287,"Delvist enig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","venstre","Københavns Omegns "," Taastrup"," 46"," Fhv. minister "," 9800 Hjørring"," Kvinde "," Ja ","Alle","7",3299,"","3"
"626","Jeanne Guldbrand Toxværd",547,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","enhedslisten","Københavns Omegns "," Gentofte"," Ukendt"," Specialpædagogisk konsulent "," 2920 Charlottenlund"," Kvinde "," Ja ","1.","3 ",2233,"","2"
"627","Søren Søndergård",3038,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Københavns Omegns "," Gladsaxe"," 60"," Arbejdsløs "," 2860 Søborg"," Mand "," Nej ","3.","1 ",5632,"1K",""
"628","Kristian Hegård",968,"Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","radikale venstre","Nordsjællands "," Fredensborg"," 24"," Stud.jur. "," 3050 Humlebæk"," Mand "," Nej ","Alle","2",1560,"","2"
"629","Martin Lidegård",7671,"Helt uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","radikale venstre","Nordsjællands "," Rudersdal"," 48"," Udenrigsminister "," Ukendt"," Mand "," Nej ","Alle","6",12477,"1T",""
"630","Mette Abildgård",3206,"Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","det konservative folkeparti","Nordsjællands "," Egedal, Frederikssund, Rudersdal"," 27"," PR- og kommunikationsmedarbejder "," 2300 København S"," Kvinde "," Ja ","Alle","4 5 6",6071,"1T",""
"631","Trine Schøning Torp",2494,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Nordsjællands "," Frederikssund, Egedal, Fredensborg"," Ukendt"," Psykolog, lektor "," 3300 Frederiksværk"," Kvinde "," Nej ","Alle","2 4 5",5927,"1T",""
"632","Tommy Højegård",116,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Nordsjællands "," Storkredskandidat"," 52"," Ukendt "," 3660 Stenløse"," Mand "," Nej ","Alle","",179,"","8"
"633","Jan-Erik Messmann",1888,"Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","dansk folkeparti","Nordsjællands "," Rudersdal"," Ukendt"," Kaptajn "," 3460 Birkerød"," Mand "," Nej ","Alle","6",8725,"1T",""
"634","Søren Hyldgård",1396,"Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","venstre","Nordsjællands "," Helsingør"," Ukendt"," Konsulent "," 3460 Birkerød"," Mand "," Nej ","Alle","1",2776,"","3"
"635","Margit Kjeldgård",466,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig","enhedslisten","Nordsjællands "," Helsingør"," 60"," Selvstændig "," 3000 Helsingør"," Kvinde "," Ja ","1.","5 ",2938,"","4"
"636","Lasse Elmin Danielsen",238,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","alternativet","Nordsjællands "," Ukendt"," Ukendt"," datanom "," 3000 Helsingør"," Mand "," Nej ","Alle","",1094,"","3"
"637","Lars Bentzon Goldschmidt",264,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","socialdemokraterne","Bornholms "," Aakirkeby"," 60"," Kemiingeniør "," 3770 Allinge"," Mand "," Nej ","Alle","",374,"","2"
"638","Ianto Tryfan Davies Gerdes",35,"Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","det konservative folkeparti","Bornholms "," Aakirkeby"," Ukendt"," Oversergent "," 3751 Østermarie"," Mand "," Nej ","Alle","",58,"","2"
"639","Bjarne Hartung Kirkegård",235,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt enig","Helt uenig","kristendemokraterne","Bornholms "," Aakirkeby"," 61"," Journalist "," 3770 Allinge"," Mand "," Ja ","Alle","2",386,"",""
"640","Kåre Dybvad",4121,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","socialdemokraterne","Sjællands "," Holbæk"," 31"," Projektchef ","  København K"," Mand "," Ja ","Alle","9",7774,"7K",""
"641","Henriette Bødevadt",302,"Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","radikale venstre","Sjællands "," Lolland, Guldborgsund"," Ukendt"," Nattevagt "," 4895 Errindlev"," Kvinde "," Nej ","Alle","1 2",584,"","5"
"642","Marie Louise L. M. Friderichsen",1405,"Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","det konservative folkeparti","Sjællands "," Lolland, Næstved"," Ukendt"," Selvstændig "," 4900 Nakskov"," Kvinde "," Nej ","Alle","1 4",1969,"","2"
"643","Anette Brix Andreasen",586,"Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","det konservative folkeparti","Sjællands "," Vordingborg"," Ukendt"," Politiassistent "," 4684 Holmegaard"," Kvinde "," Nej ","Alle","3",951,"","4"
"644","Mikkel Lundemann",447,"Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","det konservative folkeparti","Sjællands "," Faxe"," 26"," Studerende "," 4660 Store Heddinge"," Mand "," Ja ","Alle","5",688,"","6"
"645","Christian Wedell-Neergård",934,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","det konservative folkeparti","Sjællands "," Køge, Roskilde"," 59"," Godsejer "," 4140 Borup"," Mand "," Ja ","Alle","6 8",1539,"","3"
"646","Tina Boel",1293,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Sjællands "," Roskilde"," 55"," Centerleder "," 4000 Roskilde"," Kvinde "," Nej ","Alle","8",3009,"","1"
"647","Michael Gråkjær",171,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","socialistisk folkeparti","Sjællands "," Faxe"," 55"," Procesoperatør "," 4600 Køge"," Mand "," Ja ","Alle","5",423,"","10"
"648","Bente Juul Röttig",231,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Sjællands "," Holbæk"," Ukendt"," Socialrådgiver "," 4340 Tølløse"," Kvinde "," Nej ","Alle","9",684,"","9"
"649","Knud Erik Damgård",293,"Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","liberal alliance","Sjællands "," Storkredskandidat"," 58"," Salgskonsulent "," 4000 Roskilde"," Mand "," Nej ","Alle","",1507,"","7"
"650","Frederik Damgård",326,"Helt enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Sjællands "," Storkredskandidat"," 52"," Projektleder "," 2690 Karlslunde"," Mand "," Nej ","Alle","6",710,"","3"
"651","Kisser Franciska Lehnert",659,"Helt enig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Delvist enig","liberal alliance","Sjællands "," Storkredskandidat"," Ukendt"," Mentor "," 4100 Ringsted"," Kvinde "," Ja ","Alle","",2724,"","3"
"652","Thomas Lunden",146,"Helt enig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","liberal alliance","Sjællands "," Storkredskandidat"," Ukendt"," Selvstændig "," 4571 Grevinge"," Mand "," Nej ","Alle","",611,"","8"
"653","Mette Guldager Andersen",125,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt uenig","kristendemokraterne","Sjællands "," Slagelse"," 72"," Turistfører "," 4200 Slagelse"," Kvinde "," Ja ","Alle","12",438,"",""
"654","Henning Østergård-Christensen",86,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","kristendemokraterne","Sjællands "," Guldborgsund"," 66"," Ingeniørassistent "," 4800 Nykøbing F"," Mand "," Ja ","Alle","",202,"","2"
"655","Karin Nødgård",4298,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","dansk folkeparti","Sjællands "," Slagelse"," 49"," Lærer "," 4174 Jystrup Midtsjælland"," Kvinde "," Ja ","Alle","12",12542,"4K",""
"656","Bertel Hårder",5222,"Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","venstre","Sjællands "," Greve"," 71"," Fhv. minister, medlem af Præsidiet, 1. næstformand "," 2100 København Ø"," Mand "," Ja ","Alle","7",7902,"4K",""
"657","Flemming Damgård Larsen",2133,"Helt uenig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","venstre","Sjællands "," Roskilde"," 64"," Advokat "," 4070 Kirke Hyllinge"," Mand "," Ja ","Alle","8",3260,"","4"
"658","Finn Klarskov Sommer Jensen",209,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig","enhedslisten","Sjællands "," Faxe"," 72"," Pens. faglærer "," 4640 Valby"," Mand "," Nej ","Alle","",694,"","8"
"659","Frede Skåning",1516,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig","socialdemokraterne","Fyns "," Svendborg"," 50"," togfører "," 5220 Odense SØ"," Mand "," Nej ","Alle","7",3405,"","2"
"660","Abir Al-kalemji",774,"Helt uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","radikale venstre","Fyns "," Odense Øst, Nyborg"," Ukendt"," Læge ","  Odense C"," Kvinde "," Nej ","Alle","1 6",2085,"","2"
"661","Vagn Allan Hansen",217,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Fyns "," Faaborg"," 56"," socialpædagog "," 5792 Årslev"," Mand "," Nej ","Alle","8",396,"","6"
"662","Jes Victor Noldus Christiansen",204,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Fyns "," Storkredskandidat"," Ukendt"," civiløkonom "," 5700 Svendborg"," Mand "," Nej ","Alle","7",598,"","3"
"663","Mads Nørgård",105,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","liberal alliance","Fyns "," Storkredskandidat"," Ukendt"," Funktionær ","  Odense C"," Mand "," Nej ","Alle","",299,"","6"
"664","Kim Brandt Laursen",30,"Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","kristendemokraterne","Fyns "," Odense Vest, Fåborg"," Ukendt"," Chefkonsulent "," 5210 Odense NV"," Mand "," Nej ","Alle","3",98,"",""
"665","Jens Henrik Thulesen Dahl",9923,"Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","dansk folkeparti","Fyns "," Assens"," 54"," Arbejdsmiljøkonsulent "," 5610 Assens"," Mand "," Ja ","Alle","4",26573,"1K",""
"666","Lars Christian Lilleholt",8161,"Helt uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig","venstre","Fyns "," Middelfart"," 50"," Journalist "," 5230 Odense M"," Mand "," Ja ","Alle","5",15705,"2K",""
"667","Ole Filstrup Pedersen",1534,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","venstre","Fyns "," Faaborg"," Ukendt"," Lærer "," 5600 Faaborg"," Mand "," Nej ","Alle","8",2623,"","4"
"668","Torsten Ringgård",137,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Fyns "," Odense Syd"," Ukendt"," Driftschef "," 5250 Odense SV"," Mand "," Nej ","3.","5 ",1952,"","3"
"669","Karen Johanne Klint",6050,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","socialdemokraterne","Sydjyllands "," Vejle syd"," 68"," Institutionsleder "," 7120 Vejle Øst"," Kvinde "," Ja ","Alle","9",12340,"3K",""
"670","Frank Mosegård",354,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","socialdemokraterne","Sydjyllands "," Ukendt"," 43"," Vinduesoperatør "," 7323 Give"," Mand "," Nej ","Alle","8",706,"","6"
