"name","age","party","votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","MILJØ__Indsatsen for at forbedre miljøet skal gå forud for økonomisk vækst","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Villum Christensen",61,"i",2451,"Helt enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist enig"
"Knud Erik Damgaard",58,"i",293,"Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig"
"Andreas Hastrup",56,"i",2144,"Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist enig"
"Henrik Boye",50,"i",825,"Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Frederik Damgaard",52,"i",326,"Helt enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Vibeke Hellmann",70,"i",377,"Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig"
"Rikke Jakobsen",45,"i",463,"Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Kisser Franciska Lehnert",49,"i",659,"Helt enig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Delvist enig"
"Thomas Lunden",48,"i",146,"Helt enig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig"
"Mette Guldager Andersen",72,"k",125,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Jacob Hellwing",21,"k",30,"Helt enig","Helt enig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig"
"Egon Jakobsen",67,"k",141,"Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Per Kristensen",58,"k",59,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Martin Sørensen",26,"k",57,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig"
"Henning Østergaard-Christensen",66,"k",86,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Eric Steffensen",69,"o",1372,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig"
"Liselott Blixt",50,"o",5981,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Henrik Brodersen",51,"o",2450,"Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Gert Poul Christensen",61,"o",786,"Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"René Christensen",44,"o",8180,"Helt uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Søren Espersen",62,"o",14482,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Heino Hahn",49,"o",1201,"Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig"
"Jeppe Jakobsen",27,"o",2255,"Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Merete Dea Larsen",37,"o",3511,"Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Karin Nødgaard",49,"o",4298,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt uenig"
"Per Nørhave",60,"o",1996,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig"
"Thomas Palmskov",54,"o",1378,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Claus Bakke",50,"v",1607,"Delvist enig","Delvist enig","Helt uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig"
"Morten Dahlin",26,"v",2986,"Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Delvist enig"
"Louise Schack Elholm",37,"v",3185,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Jens Hald",47,"v",1569,"Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig"
"Bertel Haarder",71,"v",5222,"Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig"
"Jacob Jensen",42,"v",5864,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig"
"Marcus Knuth",39,"v",7351,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig"
"Flemming Damgaard Larsen",64,"v",2133,"Helt uenig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig"
"Karsten Nonbo",63,"v",3049,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Vibeke Nørly",51,"v",1242,"Helt uenig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig"
"Benedikte Ask Skotte",50,"v",2645,"Delvist uenig","Helt enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig"
"Christian Juhl",62,"oe",1648,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Eva Flyvholm",34,"oe",2651,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Jonathan Simmel",27,"oe",857,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Bruno Jerup",58,"oe",268,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Troels Juel",29,"oe",488,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig"
"Martin Graff Jørgensen",19,"oe",328,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig"
"Bente Lerche-Thomsen",60,"oe",650,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig"
"Carsten Oddershede",40,"oe",206,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Ivan Mott",57,"oe",292,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Delvist enig"
"Finn Klarskov Sommer Jensen",72,"oe",209,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig"
"Anker Schjerning",70,"oe",289,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig"
"Rasmus Nordqvist",40,"aa",1328,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Jakob Jespersen",67,"aa",216,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Delvist uenig"
"Lea Lie",34,"aa",1194,"Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig"
"Søren Rønhede",69,"aa",198,"Helt enig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig"
"Tanja Schjellerup",38,"aa",304,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig"
"Carsten Bering",50,"aa",328,"Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Helt uenig"
"Erik Christensen",57,"a",4447,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig"
"Trine Bramsen",34,"a",8337,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Carsten Hansen",58,"a",2567,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Jan Johansen",59,"a",10440,"Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig"
"Dan Jørgensen",40,"a",14874,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Chresten Anker Nielsen",32,"a",465,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig"
"Julie Skovsby",36,"a",3811,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Frede Skaaning",50,"a",1516,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig"
"Abir Al-kalemji",41,"b",774,"Helt uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig"
"Bjørn Bjerrehøj",31,"b",499,"Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig"
"Camilla Hersom",44,"b",1967,"Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Gitte Madsen",51,"b",435,"Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Mathias von Jessen",27,"b",295,"Helt uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Mai Mercado",35,"c",5366,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig"
"Jonathan Bitzow",29,"c",314,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Anders Johansson",34,"c",695,"Delvist enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist uenig","Helt uenig"
"Henrik Nielsen",50,"c",622,"Helt enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig"
"Annette Vilhelmsen",55,"f",2510,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Mikkel Dragmose-Hansen",28,"f",468,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig"
